id,lang,accept_length,accept_rate,completion_tokens,verify_ct
0,en,2.473684210526316,0.4824561403508772,94,38
1,en,2.098360655737705,0.366120218579235,128,61
2,en,2.4615384615384617,0.4807692307692308,128,52
3,en,2.4150943396226414,0.46540880503144655,128,53
4,en,2.3703703703703702,0.4567901234567901,128,54
5,en,2.2,0.3939393939393939,121,55
6,en,2.0317460317460316,0.3439153439153439,128,63
7,en,1.9692307692307693,0.31794871794871793,128,65
8,en,2.2916666666666665,0.4236111111111111,110,48
9,en,2.3703703703703702,0.4506172839506173,128,54
10,en,2.206896551724138,0.40229885057471265,128,58
11,en,2.098360655737705,0.37158469945355194,128,61
12,en,2.3703703703703702,0.46296296296296297,128,54
13,en,2.723404255319149,0.574468085106383,128,47
14,en,2.098360655737705,0.36065573770491804,128,61
15,en,2.4615384615384617,0.4807692307692308,128,52
16,en,2.6666666666666665,0.5625,128,48
17,en,1.9692307692307693,0.3333333333333333,128,65
18,en,2.0,0.328125,128,64
19,en,2.245614035087719,0.4093567251461988,128,57
20,en,2.4615384615384617,0.5,128,52
21,en,2.327272727272727,0.44242424242424244,128,55
22,en,2.6122448979591835,0.5374149659863946,128,49
23,en,2.0317460317460316,0.3386243386243386,128,63
24,en,2.2857142857142856,0.43452380952380953,128,56
25,en,2.342857142857143,0.4666666666666667,82,35
26,en,2.0491803278688523,0.3551912568306011,125,61
27,en,2.1333333333333333,0.37222222222222223,128,60
28,en,2.327272727272727,0.43636363636363634,128,55
29,en,2.6296296296296298,0.5308641975308642,71,27
30,en,2.4615384615384617,0.48717948717948717,128,52
31,en,2.1333333333333333,0.37222222222222223,128,60
32,en,2.111111111111111,0.362962962962963,95,45
33,en,2.245614035087719,0.4269005847953216,128,57
34,en,3.2,0.8,16,5
35,en,2.4150943396226414,0.46540880503144655,128,53
36,en,2.8444444444444446,0.6296296296296297,128,45
37,en,2.4615384615384617,0.4807692307692308,128,52
38,en,2.3703703703703702,0.4567901234567901,128,54
39,en,2.7037037037037037,0.5555555555555556,73,27
40,en,2.327272727272727,0.4484848484848485,128,55
41,en,2.3703703703703702,0.46296296296296297,128,54
42,en,2.723404255319149,0.5673758865248227,128,47
43,en,2.4150943396226414,0.4716981132075472,128,53
44,en,3.2,0.7333333333333333,128,40
45,en,2.2857142857142856,0.42857142857142855,128,56
46,en,2.1333333333333333,0.37222222222222223,128,60
47,en,2.4,0.475,96,40
48,en,2.3703703703703702,0.46296296296296297,128,54
49,en,2.4615384615384617,0.4935897435897436,128,52
0,hi,1.3195876288659794,0.10309278350515463,128,97
1,hi,1.4222222222222223,0.14444444444444443,128,90
2,hi,1.2427184466019416,0.07766990291262135,128,103
3,hi,1.3473684210526315,0.11578947368421053,128,95
4,hi,1.2549019607843137,0.08169934640522876,128,102
5,hi,1.3195876288659794,0.10309278350515463,128,97
6,hi,1.3473684210526315,0.11578947368421053,128,95
7,hi,1.391304347826087,0.13043478260869565,128,92
8,hi,1.4382022471910112,0.14232209737827714,128,89
9,hi,1.4222222222222223,0.13703703703703704,128,90
10,hi,1.3617021276595744,0.11702127659574468,128,94
11,hi,1.3333333333333333,0.1076388888888889,128,96
12,hi,1.2673267326732673,0.0858085808580858,128,101
13,hi,1.391304347826087,0.12681159420289856,128,92
14,hi,1.2427184466019416,0.07766990291262135,128,103
15,hi,1.3333333333333333,0.1076388888888889,128,96
16,hi,1.3333333333333333,0.1076388888888889,128,96
17,hi,1.3061224489795917,0.09863945578231292,128,98
18,hi,1.2190476190476192,0.06984126984126984,128,105
19,hi,1.28,0.09,128,100
20,hi,1.3763440860215055,0.12186379928315412,128,93
