id,lang,accept_length,tag
0,en,1.5666666666666667,v2_flashinfer
1,en,1.5238095238095237,v2_flashinfer
2,en,1.5609756097560976,v2_flashinfer
3,en,1.5058823529411764,v2_flashinfer
4,en,1.4222222222222223,v2_flashinfer
5,en,1.3780487804878048,v2_flashinfer
6,en,1.391304347826087,v2_flashinfer
7,en,1.4883720930232558,v2_flashinfer
8,en,1.3924050632911393,v2_flashinfer
9,en,1.4222222222222223,v2_flashinfer
10,en,1.4545454545454546,v2_flashinfer
11,en,1.5238095238095237,v2_flashinfer
12,en,1.4222222222222223,v2_flashinfer
13,en,1.5058823529411764,v2_flashinfer
14,en,1.4382022471910112,v2_flashinfer
15,en,1.5609756097560976,v2_flashinfer
16,en,1.4382022471910112,v2_flashinfer
17,en,1.4382022471910112,v2_flashinfer
18,en,1.3617021276595744,v2_flashinfer
19,en,1.5238095238095237,v2_flashinfer
20,en,1.3763440860215055,v2_flashinfer
21,en,1.6,v2_flashinfer
22,en,1.471264367816092,v2_flashinfer
23,en,1.3617021276595744,v2_flashinfer
24,en,1.5609756097560976,v2_flashinfer
25,en,1.5180722891566265,v2_flashinfer
26,en,1.4492753623188406,v2_flashinfer
27,en,1.4222222222222223,v2_flashinfer
28,en,1.2190476190476192,v2_flashinfer
29,en,1.5434782608695652,v2_flashinfer
30,en,1.5238095238095237,v2_flashinfer
31,en,1.5238095238095237,v2_flashinfer
32,en,1.46,v2_flashinfer
33,en,1.5609756097560976,v2_flashinfer
34,en,1.7777777777777777,v2_flashinfer
35,en,1.5584415584415585,v2_flashinfer
36,en,1.641025641025641,v2_flashinfer
37,en,1.3333333333333333,v2_flashinfer
38,en,1.292929292929293,v2_flashinfer
39,en,1.46,v2_flashinfer
40,en,1.5802469135802468,v2_flashinfer
41,en,1.4065934065934067,v2_flashinfer
42,en,1.4545454545454546,v2_flashinfer
43,en,1.4382022471910112,v2_flashinfer
44,en,1.5238095238095237,v2_flashinfer
45,en,1.4382022471910112,v2_flashinfer
46,en,1.6,v2_flashinfer
47,en,1.6271186440677967,v2_flashinfer
48,en,1.471264367816092,v2_flashinfer
49,en,1.5058823529411764,v2_flashinfer
0,hi,2.2857142857142856,v2_flashinfer
1,hi,1.7534246575342465,v2_flashinfer
2,hi,2.098360655737705,v2_flashinfer
3,hi,2.1333333333333333,v2_flashinfer
4,hi,2.0,v2_flashinfer
5,hi,2.0,v2_flashinfer
6,hi,2.1333333333333333,v2_flashinfer
7,hi,1.8823529411764706,v2_flashinfer
8,hi,1.8028169014084507,v2_flashinfer
9,hi,2.1333333333333333,v2_flashinfer
10,hi,2.4615384615384617,v2_flashinfer
11,hi,2.1333333333333333,v2_flashinfer
12,hi,1.8285714285714285,v2_flashinfer
13,hi,1.8285714285714285,v2_flashinfer
14,hi,2.169491525423729,v2_flashinfer
15,hi,2.064516129032258,v2_flashinfer
16,hi,2.169491525423729,v2_flashinfer
17,hi,1.9692307692307693,v2_flashinfer
18,hi,1.9692307692307693,v2_flashinfer
19,hi,2.245614035087719,v2_flashinfer
20,hi,1.8028169014084507,v2_flashinfer
21,hi,1.8285714285714285,v2_flashinfer
22,hi,1.641025641025641,v2_flashinfer
23,hi,2.3703703703703702,v2_flashinfer
24,hi,1.8823529411764706,v2_flashinfer
25,hi,2.169491525423729,v2_flashinfer
26,hi,2.064516129032258,v2_flashinfer
27,hi,2.3703703703703702,v2_flashinfer
28,hi,2.1333333333333333,v2_flashinfer
